GCA_000949635.1	BAFN01000001.1	1855227	1856973	hdh
GCA_008501815.1	QQTZ01000026.1	70763	72398	hdh
GCA_008363395.1	RHKZ01000009.1	50089	51316	hzo
GCA_001828515.1	MHYQ01000158.1	9749	11447	hdh
GCA_008501815.1	QQTZ01000026.1	66334	67681	hdh
GCA_004282745.1	SHMT01000008.1	57370	58951	hdh
GCA_002443295.1	BAOS01000045.1	47321	48893	hdh
GCA_000949635.1	BAFN01000001.1	2185166	2186780	hdh
GCA_008363395.1	RHKZ01000009.1	60891	62505	hdh
GCA_001723765.1	MAYW01000018.1	44458	46033	hdh
GCA_001828595.1	MHZA01000047.1	2912	4439	hdh
GCA_000949635.1	BAFN01000001.1	166555	168007	hdh
GCA_004351875.1	RBMW01000007.1	57706	59287	hdh
GCA_008363395.1	RHKZ01000009.1	56481	58221	hdh
GCA_000949635.1	BAFN01000001.1	1996627	1998217	hdh
GCA_000786775.1	JRYO01000106.1	17265	18837	hdh
GCA_900232105.1	LT934425.1	404694	406470	hdh
GCA_000786775.1	JRYO01000106.1	10627	12373	hdh
GCA_002443295.1	BAOS01000045.1	54011	55757	hdh
GCA_000296795.1	BAFH01000004.1	54500	56114	hdh
GCA_001567345.1	JZEK01000014.1	2807	4421	hdh
GCA_001567345.1	JZEK01000014.1	14432	15137	hzo
GCA_004282745.1	SHMT01000008.1	48673	50308	hdh
GCA_900232105.1	LT934425.1	16463	18074	hdh
GCA_008636105.1	VSDH01000027.1	42298	43996	hdh
GCA_001828515.1	MHYQ01000158.1	14877	16434	hdh
GCA_004282745.1	SHMT01000008.1	53390	54737	hdh
GCA_008636105.1	VSDH01000027.1	31119	32688	hdh
GCA_000949635.1	BAFN01000001.1	2189362	2191108	hdh
GCA_008933285.1	WBVH01000046.1	0	1608	hdh
GCA_007860005.1	SMSM01000002.1	47145	48369	hzo
GCA_000949635.1	BAFN01000001.1	2196272	2197499	hzo
GCA_003577215.1	QEUJ01000008.1	14918	16145	hzo
GCA_007860005.1	SMSM01000002.1	57761	59369	hdh
GCA_000296795.1	BAFH01000004.1	50219	51953	hdh
GCA_002632345.1	NSJQ01000060.1	3773	4976	hzo
GCA_004351875.1	RBMW01000007.1	53726	55073	hdh
GCA_900232105.1	LT934425.1	827271	828573	hao
GCA_000949635.1	BAFN01000001.1	914496	916146	hdh
GCA_008501815.1	QQTZ01000026.1	62120	63701	hdh
GCA_007860005.1	SMSM01000002.1	53506	55210	hdh
GCA_003577215.1	QEUJ01000008.1	8013	9753	hdh
GCA_004351875.1	RBMW01000007.1	49009	50644	hdh
GCA_000786775.1	JRYO01000106.1	4684	5887	hzo
GCA_002632345.1	NSJQ01000060.1	9715	11461	hdh
GCA_002443295.1	BAOS01000034.1	56622	58449	hdh
GCA_002632345.1	NSJQ01000060.1	16350	17922	hdh
GCA_001567345.1	JZEK01000014.1	7003	8749	hdh
GCA_003577215.1	QEUJ01000008.1	3729	5343	hdh
GCA_900232105.1	LT934425.1	852543	855102	hdh
GCA_002050325.1	MWTF01000012.1	2253	4686	hzsA
GCA_002009475.1	AYTS01000080.1	1045	3472	hzsA
GCA_008636105.1	VSDH01000027.1	28459	30871	hzsA
GCA_900232175.1	OCTL01000069.1	57886	58291	hzsA
GCA_008501815.1	QQTZ01000026.1	59358	61779	hzsA
GCA_004282735.1	SHMS01000027.1	2298	4731	hzsA
GCA_002848945.1	PJZV01000035.1	0	2406	hzsA
GCA_003577215.1	QEUJ01000030.1	38295	40698	hzsA
GCA_900232175.1	OCTL01000069.1	58287	59295	hzsA
GCA_000949635.1	BAFN01000001.1	2182359	2184762	hzsA
GCA_005524015.1	SULG01000157.1	2306	4739	hzsA
GCA_008363395.1	RHKZ01000009.1	62861	65264	hzsA
GCA_000296795.1	BAFH01000001.1	52112	54545	hzsA
GCA_008933285.1	WBVH01000046.1	2022	4449	hzsA
GCA_900232105.1	LT934425.1	1035236	1037666	hzsA
GCA_001723765.1	MAYW01000018.1	41663	44078	hzsA
GCA_004351875.1	RBMW01000007.1	59628	62049	hzsA
GCA_000786775.1	JRYO01000106.1	19200	21621	hzsA
GCA_007618145.1	PHFY01000181.1	6251	8681	hzsA
GCA_000949635.1	BAFN01000001.1	56840	59243	hzsA
GCA_900696655.1	CAADGX010000031.1	131	2585	hzsA
GCA_007618135.1	PHFX01000127.1	0	2433	hzsA
GCA_900232175.1	OCTL01000069.1	59246	59498	hzsA
GCA_900232175.1	OCTL01000053.1	14985	17415	hzsA
GCA_008363395.1	RHKZ01000016.1	38295	40698	hzsA
GCA_007860005.1	SMSM01000002.1	59771	62204	hzsA
GCA_900696475.1	CAADGF010000128.1	0	2433	hzsA
GCA_004282745.1	SHMT01000008.1	59292	61713	hzsA
GCA_900232175.1	OCTL01000042.1	9642	12072	hzsA
GCA_900232175.1	OCTL01000095.1	57181	59611	hzsA
GCA_001567345.1	JZEK01000014.1	0	2403	hzsA
GCA_000296795.1	BAFH01000004.1	56530	58963	hzsA
GCA_002443295.1	BAOS01000045.1	44528	46952	hzsA
GCA_001828595.1	MHZA01000047.1	4800	7221	hzsA
GCA_003577215.1	QEUJ01000008.1	921	3324	hzsA
GCA_900232175.1	OCTL01000126.1	6528	8958	hzsA
GCA_007860005.1	SMSM01000001.1	41452	43885	hzsA
GCA_900696675.1	CAADGZ010000078.1	1206	3636	hzsA
GCA_000315095.1	AMCF01000267.1	0	1089	hzsA
GCA_007618155.1	PHFZ01000051.1	0	2406	hzsA
